#漢字	音標	解釋
多	tɔu22	多：～少
斜	ɕia41	斜：倾～[文]
斜	ʨʰia41	斜：不正[白]
謝	ʨʰia31	谢：多～；姓
爹	tia22	爹：～娘
遮	ʦa22	遮：遮挡[动]；伞[名]
者	ʦa31	者：记～，作～
蔗	ʦa45	蔗：甘蔗
車	ʦʰa22	车：火～
扯	ʦʰɿ31	扯：～开，～烂
蛇	sa41	蛇：毒～
射	sa31	射：发～，～箭
麝	sa31	麝：～香
奢	ʦʰa22	奢：～侈
賒	ʦʰa22	赊：～帐
捨	sa31	舍：～唔得（舍不得）
赦	sa45	赦：～免
舍	sa45	舍：宿～
社	sa22	社：～会，公～
惹	ȵia31	惹：～事
耶	ia41	耶：～稣
爺	ia41	爷：父亲；爷爷[文]
也	ia45	也：～知
野	ia22	野：～人
夜	ia31	夜：日～，～班
傻	sɔu41	傻：～瓜，～子
瓜	ka22	瓜：西～，～分
蝸	vɔu22	蜗：～牛
寡	ka31	寡：～妇，守～
剮	kɔt2	剐：千刀万～
誇	kʰa22	夸：～大，～张
垮	kʰa22	垮：～台
跨	kʰa22	跨：～栏，～度
娃	va22	娃：洋～～
瓦	ŋa31	瓦：～片
花	fa22	花：开～
化	fa45	化：变～
華	fa41	华：中～
劃	vak4	划：～船
華	fa22	华：～山；姓
蛙	va41	蛙：青～，～泳
補	pu31	补：～鞋，～充
譜	pʰu22	谱：族～，歌～
布	pu45	布：红～，～料
佈	pu45	布：公～，～置
鋪	pʰu22	铺：～路，床～
普	pʰu22	普：～通，～遍
浦	pʰu45	浦：黄～江
鋪	pʰu45	铺：店～，当～
怖	pu45	怖：恐～
蒲	pʰu41	蒲：（石）菖～
菩	pʰu41	菩：～萨
脯	pʰu41	脯：胸～
部	pʰu31	部：～队，干～
簿	pʰu31	簿：练习～，帐～
步	pʰu31	步：跑～
捕	pʰu31	捕：逮～，～快
模	mu41	模：～型，～范
摹	mu41	摹：～仿，描～
暮	mu45	暮：日暮
慕	mu45	慕：羡～，～名而来
墓	mu45	墓：坟～，～地
募	mu45	募：～捐
都	tu22	都：首～，～市
都	tu22	都：都是
堵	tu31	堵：～车，～塞
賭	tu31	赌：～博
肚	tu31	肚：猪～，鱼～
妬	tu45	妒：～忌
土	tʰu31	土：～地
吐	tʰu45	吐：～痰；呕～
兔	tʰu45	兔：野～
徒	tʰu41	徒：～弟
屠	tʰu41	屠：～杀
途	tʰu41	途：前～
塗	tʰu41	涂：糊～，～改
圖	tʰu41	图：画～，地～
杜	tʰu45	杜：姓；杜仲（中药）
肚	tu31	肚：肚子
度	tʰu31	度：～数，长～
渡	tʰu31	渡：偷～，摆～
鍍	tʰu31	镀：电～
奴	nu41	奴：～隶
努	nu31	努：～力
怒	nu31	怒：愤～，～气
盧	lu41	卢：姓
爐	lu41	炉：火～
蘆	lu41	芦：～苇
鸕	lu41	鸬：～鹚（扁嘴善捕鱼的水鸟）
魯	lu22	鲁：～国，～迅
虜	lu22	虏：俘～
滷	lu22	卤：盐～，～水
路	lu31	路：大～
賂	luk4	赂：贿～
露	lu45	露：～水，白～，打～
鷺	lu45	鹭：白～
租	ʧy22	租：～金，出～
祖	ʧy31	祖：～宗，～国
組	ʧy31	组：～织，小～
做	ʦɔu45	做：～好事
粗	ʧʰy22	粗：～心
醋	ʧʰy45	醋：陈～
措	ʦʰɔu45	措：～施
錯	ʦʰɔu45	错：～误
蘇	ʃy22	苏：～州；姓
酥	sɿ22	酥：脆，杏仁～
素	ʃy45	素：～菜，朴～
訴	ʃy45	诉：上～，倾～
塑	sɔk2	塑：雕～，～料
姑	ku22	姑：大～
孤	ku22	孤：～儿，～单
箍	kʰu22	箍：紧～咒[文]
箍	kʰu22	箍：围束，～桶[白]
古	ku31	古：～代
估	ku31	估：～计
牯	ku31	牯：牛～
股	ku31	股：～票
鼓	ku31	鼓：锣～，～励
故	ku45	故：～事，～乡
蠱	ku31	蛊：养～，～惑
固	ku45	固：～定
錮	ku45	锢：禁～
雇	ku45	雇：～人，～主
顧	ku45	顾：照～
枯	kʰu22	枯：干～，～水
苦	kʰu31	苦：辛～，食～（吃苦）
苦	kʰu31	苦：～味
庫	kʰu45	库：水～，仓～
褲	kʰu45	裤：裤子
吳	m̩41	吴：姓
蜈	m̩41	蜈：～蚣
梧	m̩41	梧：～桐
五	m̩31	五：数字
伍	m̩31	伍：姓；队～
午	m̩31	午：中～，端～
誤	ŋu31	误：～会，错～
悟	ŋu31	悟：觉～；孙～空
呼	fu22	呼：称～，～吸，招～
虎	fu31	虎：老～
虎	fu22	虎：马～
滸	fu31	浒：水～
戽	fu45	戽：～水（泼水），～斗
胡	fu41	胡：二～ ；姓
湖	fu41	湖：西～
狐	fu41	狐：～狸
壺	fu41	壶：水～
乎	fu41	乎：在～
瓠	pʰu41	瓠：瓠卢，同葫芦
鬍	fu41	胡：～须
蝴	fu41	蝴：～蝶
糊	fu41	糊：浆～，～涂
戶	fu31	户：～口
滬	fu31	沪：上海简称
互	fu41	互：～相
護	fu31	护：保～，～士
瓠	pʰu41	瓠：瓠瓜（味似葫芦而长）
烏	vu22	乌：黑
污	vu22	污：～染
塢	vu22	坞：船～
惡	vu45	恶：可～
女	ȵi31	女：女人
廬	lu41	庐：～山
驢	lu41	驴：毛驴
呂	li22	吕：姓
旅	li22	旅：～游
慮	li31	虑：考～
濾	li31	滤：过～
絮	ʨʰi45	絮：棉～
徐	ʨʰi41	徐：姓
序	ʃy31	序：顺～
敍	ʃy31	叙：倒～
緖	ʃy31	緖：情～；光～
豬	ʧy22	猪：～肉
著	ʧy45	著：～名，显～
除	ʧʰy41	除：～法
儲	ʃy41	储：～蓄
苧	ʧʰy22	苎：～麻
阻	ʧy31	阻：～止，～力
初	ʧʰy22	初：当～，～中
楚	ʧʰy31	楚：清～
礎	ʧʰy31	础：基～
鋤	ʧʰy41	锄：～草，～禾日当午
助	ʧʰy31	助：帮～
梳	sɿ22	梳：梳子[名]；梳头[动]
疏	sɿ22	疏：～远；稀疏
疏	sɿ22	疏：生～
蔬	sɿ22	蔬：～菜
所	sɔu31	所：～以；派出～
諸	ʧy22	诸：姓；～如此类
煮	ʧy31	煮：～饭
處	ʧʰy45	处：～理
處	ʧʰy45	处：～所
書	ʃy22	书：读～
舒	ʃy22	舒：～服
暑	ʃy31	暑：～假
鼠	ʧʰy31	鼠：老～
庶	ʃy45	庶：～民
恕	ʃy45	恕：宽～
署	ʃy31	署：～名
薯	ʃy41	薯：番～
如	i41	如：～果，假～
居	ʨi22	居：～民
車	ʨi22	车：象棋，～马炮
舉	ʨi31	举：～报，～重
據	ʨi31	据：收～
鋸	ʨi45	锯：电～
墟	ʃy22	墟：～日
去	ʨʰi45	去：来～，过～
渠	ʨʰi41	渠：水～，～道
佢	ʨi41	佢：他，第三人称
巨	ʨʰi22	巨：～大
拒	ʨʰi22	拒：～绝
距	ʨʰi22	距：～离
魚	ȵu41	鱼：金～
漁	ȵu41	渔：～业，～夫
語	ȵi22	语：～文
禦	iut4	御：防～
虛	ʃy22	虚：～心
噓	ʃy22	嘘：吹～
許	ʃy31	许：允～；姓
於	i41	于：在～
淤	i41	淤：～泥
余	i41	余：姓
餘	i41	余：多～
與	i31	与：参～，给～，～众不同
予	i41	予：给～
譽	i31	誉：荣～
預	i31	预：～报，～备
豫	i41	豫：犹～
夫	fu22	夫：～妻，车～
膚	fu22	肤：皮～
府	fu31	府：政～
腑	fu31	腑：五脏六～
俯	fu31	俯：～卧撑，～视
甫	pʰu31	甫：杜～
斧	pu31	斧：～头
付	fu45	付：应～
咐	fu45	咐：吩～
賦	fu31	赋：天～
傅	fu31	傅：师～[文]
傅	fu45	傅：姓[白]
敷	fu22	敷：～衍，～药
俘	fu22	俘：～虏
孵	pʰu31	孵：孵小鸡
麩	kʰu22	麸：麦～
撫	vu31	抚：～养，安～
赴	fu45	赴：奔～，～汤蹈火
訃	pʰuk2	讣：～告
符	fu41	符：～合，鬼画～
扶	fu41	扶：～贫，～手[文]
扶	pʰu41	扶：搀扶，～起来[白]
芙	fu41	芙：～蓉
父	fu31	父：～亲
釜	pu31	釜：破～沉舟
腐	fu31	腐：～败
腐	fu31	腐：豆～
輔	fu31	辅：～导，～助
附	fu31	附：～近，～带
無	vu41	无：没有，～中生有[文]
無	mɔu41	无：没有，～事[白]
巫	mu41	巫：姓；～婆
誣	vu41	诬：～陷，～告
武	vu31	武：～器，～术
舞	vu31	舞：跳～
舞	vu31	舞：拨弄，摆弄[白，动]
侮	vu22	侮：～辱
鵡	vu31	鹉：鹦～
務	vu31	务：任～，～农
霧	vu45	雾：大～
縷	leu31	缕：千丝万～
屢	lui31	屡：～次，～教不改
趨	ʨʰi22	趋：～势
取	ʨʰi31	取：～钱
娶	ʨʰi31	娶：嫁～
趣	ʨʰi45	趣：兴～
聚	ʨʰi22	聚：～会
聚	ʨʰiu22	聚：捡～（收拢）[白]
須	ɕi22	须：必～
鬚	ɕi22	须：胡～
需	ɕi22	需：～要
續	ʃiuk4	续：连～，继～
誅	ʧy22	诛：天～地灭
蛛	ʧy22	蛛：蜘～
株	ʧy22	株：守～待兔
駐	ʧy45	驻：～扎
註	ʧy45	注：～释
廚	ʧʰy41	厨：～房
櫥	ʧʰy41	橱：碗～
柱	ʧʰy22	柱：柱子
住	ʧʰy31	住：～宿
雛	ʧʰy22	雏：～形
數	ʃy45	数：～落，～星星[动]
數	ʃy45	数：～字，～学
朱	ʧy22	朱：姓
珠	ʧy22	珠：珍～
主	ʧy31	主：～人，地～
注	ʧy45	注：～意
蛀	ʧy45	蛀：～虫
鑄	ʧy45	铸：～铁，～钢
樞	ʃy22	枢：中～，～纽
輸	ʃy22	输：～赢
輸	ʃy22	输：运～
殊	ʃy41	殊：特～
豎	ʃy31	竖：横～
樹	ʃy31	树：～立，种～
儒	i41	儒：～家思想
乳	iui31	乳：哺～，母～[文]
乳	nen41	乳：食～（吃奶），麦～精[训]
拘	ʨi22	拘：～留
倶	ʨʰi31	俱：～备，～乐部
矩	ʨi31	矩：规～，～形
句	ʨi45	句：～号
區	ʨʰi22	区：地～，～别
驅	ʨʰi22	驱：先～，～动
具	ʨʰi31	具：～体
懼	ʨʰi31	惧：恐～
愚	ȵi41	愚：～蠢，～公移山
虞	i41	虞：姓，～姬
娛	ŋu41	娱：～乐
遇	ȵi31	遇：遭～，相～，～到
寓	ȵi31	寓：～言；公～
迂	i41	迂：～回，～腐
于	i41	于：姓；等～
雨	i31	雨：落～，谷～，～水
宇	i41	宇：～宙
禹	ȵi31	禹：大～治水
羽	i31	羽：～毛球
芋	i45	芋：芋头
逾	i31	逾：超过，～期
愉	i31	愉：～快
愈	i31	愈：病～
喩	i31	喻：比～
裕	i31	裕：富～
獃	tai22	呆：书～子，发～[文]
獃	ŋɔi41	呆：发～[白]
戴	tai45	戴：姓；～帽
胎	tʰɔi22	胎：双胞～，～盘
台	tʰɔi41	台：天台
態	tʰai41	态：～度，心～
貸	tʰɔi31	贷：～款
臺	tʰɔi41	台：～湾
苔	tʰɔi41	苔：青～
抬	tɔi41	抬：两个人抬
待	tʰɔi31	待：等～，～人接物
怠	tʰɔi31	怠：～慢，～工
殆	tʰɔi31	殆：百战不～
代	tʰɔi31	代：～替，～表
逮	tʰi45	逮：～捕
袋	tʰɔi31	袋：袋子
乃	nai45	乃：安～近；人名用字
耐	nai31	耐：～力，～心，忍～
來	lɔu41	来：过～，～去
災	ʦai22	灾：水～
栽	ʦɔi45	栽：种，～培
宰	ʦai31	宰：～相
載	ʦɔi45	载：一年半～
再	ʦai45	再：～来
載	ʦɔi45	载：～重
猜	ʦʰai22	猜：～谜
彩	ʦʰai31	彩：～色
採	ʦʰai31	采：～集
睬	ʦʰɔi31	睬：理睬
菜	ʦʰɔi45	菜：煮～，青～
才	ʦʰɔi41	才：人～，～气，秀～
材	ʦʰɔi41	材，药～，～料
財	ʦʰɔi41	财，发～
裁	ʦʰɔi41	裁，～纸，剪～
纔	ʦʰɔi41	才：刚～
在	ʦʰai31	在：实～，现～[文]
在	ʦʰɔi22	在：存在，还～[白]
載	ʦɔi45	载：满～而归
腮	sɔi22	腮：～腺炎，～红
鰓	sɔi22	鳃：鱼鳃
賽	sɔi45	赛：比～
該	kɔi22	该：应～
改	kɔi31	改：修～，～正
概	kʰai31	概：大～，～括
溉	kʰai31	溉：灌～
開	kʰɔi22	开：公～，～门
凱	kʰai31	凯：～旋
慨	kʰai31	慨：慷～，感～
咳	kʰen31	咳：～嗽，止～糖浆
呆	tai22	呆：～板
礙	ŋɔi31	碍：妨～
海	hɔi31	海：大～
孩	hai41	孩：～童
亥	hɔi31	亥：辛～革命
哀	ɔi22	哀：悲～
埃	ai22	埃：尘～，～及
愛	ɔi45	爱：～情；要
貝	pui45	贝：宝～
貝	pui45	贝：川～，～壳
沛	pʰui45	沛：充～
帶	tai45	带：鞋～
太	tʰai45	太：老～婆
泰	tʰai45	泰：～山
大	tʰai31	大：大小
奈	nai31	奈：无～，～何
賴	lai31	赖：依～，无～；姓
癩	lai31	癞：～蛤蟆[文]
蔡	ʦʰai45	蔡：姓
蓋	kɔi45	盖：～被[动]；盖子[名]
丐	kɔi45	丐：～帮
艾	ŋei45	艾：姓；～滋病
艾	ŋei45	艾：艾草
害	hɔi31	害：～人
藹	hai41	蔼：和～，宋～龄
拜	pai45	拜：结～，礼～，～佛
排	pʰai41	排：～队
埋	mai4	埋：～伏
齋	ʦai22	斋：食～（吃斋）
豺	ʦʰai41	豺：～狼
皆	kai22	皆：～大欢喜
階	kai22	阶：台～，～级
介	kai45	介：～绍，中～
界	kai45	界：世～
芥	kei45	芥：～菜
尬	kai45	尬：尴～
疥	kai45	疥：～疮
屆	kai45	届：第一～
戒	kai45	戒：～烟，猪八～
楷	kai22	楷：～书，～模
諧	hai41	谐：和～
駭	hɔi31	骇：惊～，～人听闻
械	hai31	械：机～
挨	ai22	挨：～打，～近
擺	pai31	摆：摇～
派	pʰai45	派：正～，～出所
牌	pʰai41	牌：～坊，～匾[文]
牌	pʰai41	牌：打～[白，训]
㵺	pʰai41	排：竹排
罷	pʰa31	罢：～工
稗	pʰa31	稗：～草
買	mai22	买：～卖
賣	mai31	卖：买～
奶	nai22	奶：二～，～牛
債	ʦai45	债：欠～
釵	ʦʰa22	钗：宝～
差	ʦʰai22	差：出～
柴	ʦʰai41	柴：姓；火～
篩	ʦʰei22	筛：～选，～米
灑	sa31	洒：潇～，～水
佳	ka22	佳：～人，～节
街	kai22	街：～路
解	kai31	解：～释，讲～[文]
解	kai31	解：～开[白]
懈	hai31	懈：松～，坚持不～
涯	ŋai41	涯：天～
崖	ŋai41	崖：悬～
捱	ŋai41	捱：难～，～苦
鞋	hai41	鞋：布～
解	kai31	解：懂了，理～，了～
蟹	hai31	蟹：老～
矮	ei31	矮：高矮
敗	pʰai31	败：失～
邁	mai31	迈：豪～，～步
寨	ʦʰai31	寨：山～，大～
蔽	pi45	蔽：隐～
弊	pʰi31	弊：作～
幣	pʰi31	币：人民～
斃	pi45	毙：枪～
例	lei31	例：举～，～外
厲	li31	厉：严～，～害
勵	li31	励：鼓～
祭	ʨi45	祭：～祀
際	ʨi45	际：国～
滯	ʦʰei31	滞：停～，湿～（中医）
制	ʦɿ45	制：～度
製	ʦɿ45	制：～造
世	sɿ45	世：～界
世	sɿ45	世：出～
勢	sɿ45	势：～力，有权有～
誓	sɿ31	誓：发～
逝	sɿ45	逝：～世
藝	ŋei31	艺：～术，文～晚会
蓖	pi22	蓖：～麻
閉	pi45	闭：关～
批	pʰei22	批：～评，大～
批	pei22	批：螺丝～
陛	pi31	陛：～下
迷	mi41	迷：入～，～路
米	mi31	米：大米
謎	mi41	谜：～语，猜～
低	tei22	低：高～
堤	tʰi41	堤：河～，～坝
底	tei31	底：水～
抵	tei31	抵：～押
抵	tei31	抵：用手抵挡
帝	ti45	帝：皇～
梯	tʰɔi22	梯：楼～
蒂	ti45	蒂：花～，并～莲
體	tʰi31	体：～育，身～
替	tʰei45	替：代～，～身
剃	tʰei45	剃：～头
屜	tʰi22	屉：抽～
題	tʰi41	题：～目，难～
提	tʰi41	提：～问，～醒
蹄	tʰei41	蹄：马～
啼	tʰei41	啼：哭哭～～[文]
啼	tʰei41	啼：鸡～[白]
弟	tʰi31	弟：兄～[文]
弟	tʰei22	弟：弟弟，老～[白]
第	tʰi31	第：～一，门～
遞	tʰi45	递：传～，邮～员
泥	nei41	泥：水～，地～（地板）
犁	lei41	犁：耕田用具
黎	lei41	黎：～民，～明；姓
禮	li22	礼：～貌
麗	li31	丽：秀～
擠	ʨi45	挤：拥～，～时间
濟	ʨi45	济：～公，经～
妻	ʨʰi22	妻：夫～
砌	ʨiet2	砌：～墙
齊	ʦʰei431	齐：～国[文]
齊	ʦʰei41	齐：整～，放～，来～[白]
臍	ʨʰi41	脐：肚～，～带
劑	ʨi45	剂：一～药，药～
西	ɕi22	西：东西南北
棲	ɕi22	栖：两～动物
犀	sei22	犀：～牛
洗	sei31	洗：～菜，～衣机
細	sei45	细：粗细，大小
婿	sei45	婿：女～
雞	kei22	鸡：～公（公鸡）
稽	kʰei22	稽：～查，滑～
計	kei45	计：～算，会～
繼	ʨi45	继：～续，～承
繫	kei22	系：～皮带
髻	ʨi45	髻：发髻；鸡～（鸡冠）
溪	kʰei22	溪：～水
啟	ʨʰi31	启：～发
契	kʰei45	契：房～，～约
倪	ȵei41	倪：姓，～萍
奚	ʃy45	奚：～落
兮	ɕi22	兮：神经～～
系	hei41	系：中文～，～统
繫	hei41	系：联～
係	hei41	系：关～[文]
係	hei41	系：是[白]
杯	pui22	杯：茶～
輩	pui45	辈：～分，长～
背	pʰɔi31	背：违～，后～
胚	pʰui22	胚：～胎
坯	pʰui22	坯：泥～，毛～房
配	pʰui45	配：分～，搭～
培	pʰui41	培：～训
陪	pʰui41	陪：～同
賠	pʰɔi41	赔：～钱
倍	pʰui31	倍：～数
佩	pʰui45	佩：～服
背	pʰɔi31	背：～书
梅	mɔi41	梅：～花
枚	mui41	枚：两～
媒	mɔi41	媒：～人
煤	mɔi41	煤：烧～，～矿
玫	mɔi41	玫：～瑰
每	mui22	每：～只，～日
莓	mɔi41	莓：草～
妹	mɔi45	妹：妹妹，姊～，老～
昧	mui31	昧：愚～，拾金不～
堆	tui22	堆：一～[量]，～放[动]
對	tui45	对：～错；成双成～
碓	tɔi45	碓：舂米工具，踏～
推	tʰui22	推：～荐，～动
腿	tʰui31	腿：～部，火～
退	tʰui45	退：后～，～步[文]
退	tʰui45	退：向后退[白]
隊	tui45	队：～伍，排～
內	nui31	内：～行，～外
雷	lui41	雷：打～，～公；姓
累	lui45	累：劳～
催	ʧʰiui22	催：～促，～眠
崔	ʧʰiui22	崔：姓，～莺莺
摧	ʧʰiui22	摧：～残
罪	ʧʰiui31	罪：得～，犯～[文]
罪	ʧʰiui31	罪：～过（可怜、难受）[白]
碎	ʃiui45	碎：～布，破～
盔	kʰui22	盔：头～，～甲
魁	kʰui41	魁：～梧，花～
恢	fɔi22	恢：～复
塊	kʰai45	块：一～钱，～头
桅	ŋui41	桅：～杆
灰	fɔi22	灰：石～，～色
賄	fui31	贿：受～，～赂
悔	fui45	悔：后～
晦	fui45	晦：～气
回	fui41	回：～想[文]
回	fui41	回：～礼[白]
茴	fui41	茴：～香
匯	fui31	汇：～报，～款
潰	kʰui31	溃：～疡，胃～疡
煨	vɔi22	煨：～番薯
蛻	tʰui31	蜕：～变，～皮，～壳
兌	tʰui31	兑：～水，～换
最	ʧiui45	最：～好
會	fui31	会：～计
劊	kʰai45	刽：～子手
檜	kʰai31	桧：人名，秦～
外	ŋɔi31	外：～面
會	fui31	会：开～
會	vɔi31	会：～睡，～来
繪	fui31	绘：～图，测～
乖	kai22	乖：小孩听话
怪	kai45	怪：奇～
懷	fai41	怀：～疑
槐	fai41	槐：～树
淮	fai41	淮：～河，～北
壞	fai31	坏：～人
拐	kɔi31	拐：～卖，铁～李
拐	pei22	拐：～脚（瘸腿）
掛	ka45	挂：～起来，牵～，～钩
卦	ka45	卦：八～
歪	vai22	歪：～风邪气
畫	fa31	画：～图，图～
快	kʰai45	快：～车
筷	kʰai45	筷：公～
話	va31	话：笑～，讲～[文，名]
話	va31	话：讲～[白，名]
話	va31	话：说[白，动]
脆	ʧʰiui45	脆：干～[文]
脆	ʧʰiui45	脆：易断[白]
歲	ʃiui45	岁：万～，～月[文]
歲	ʃiui45	岁：十～，～数[白]
綴	tɔt2	缀：点～
贅	ʧiui45	赘：累～，入～
稅	sɔi45	税：交～，～收
衛	vui31	卫：～生
銳	iui45	锐：尖～，～角
廢	fui45	废：～品，作～
肺	fui45	肺：猪～
吠	pʰɔi31	吠：狗～
穢	fui31	秽：淫～，污～
圭	kui22	圭：人名用字；乌拉～
閨	kui22	闺：～房
桂	kui45	桂：～花
奎	kʰui41	奎：人名用字；～宁（药名）
攜	kʰui41	携：～带，提～
惠	fui31	惠：～州，优～
慧	fui31	慧：智～
碑	pi22	碑：石～，～文
卑	pi22	卑：自～，～鄙
彼	pʰi41	彼：～此
臂	pi31	臂：手～，～力
披	pʰi22	披：～肩，～露
譬	pi31	譬：～喻，～如
皮	pʰi41	皮：调～，～肤
疲	pʰi41	疲：～劳
脾	pʰi41	脾：～胃，～气
被	pʰi31	被：被子，毛巾～
婢	pi22	婢：奴～，～女
被	pʰi22	被：～动，～迫
避	pʰit2	避：逃～
糜	mi41	糜：～烂；粥
彌	ȵi22	弥：～补，阿～陀佛
離	li41	离：～別，～开
籬	li41	篱：～笆
璃	li41	璃：玻～
荔	li31	荔：～枝
紫	ʦɿ31	紫：～色
雌	ʦʰɿ31	雌：～雄
